year,actual,synthetic,fips,gap,is_treated
2008,40423.47904116523,36326.14652149471,48181,4097.332519670519,FALSE
2009,38814.95464651784,35500.6712172592,48181,3314.2834292586413,FALSE
2010,39165.37668305389,37146.82330975512,48181,2018.5533732987678,FALSE
2011,39907.97298378671,38469.64678036693,48181,1438.3262034197833,FALSE
2012,40789.724622594666,39086.37694947421,48181,1703.3476731204573,FALSE
2013,40969.6778675893,39226.35132902072,48181,1743.3265385685809,FALSE
2014,42238.70385577183,41424.411753281405,48181,814.2921024904281,FALSE
2015,43043.62475687397,43435.52627911862,48181,-391.9015222446469,FALSE
2016,43914.63233989008,42036.42285335115,48181,1878.20948653893,FALSE
2017,43810.56145153393,42941.32032046482,48181,869.2411310691095,FALSE
2018,44707.8127929528,43373.79359482211,48181,1334.0191981306853,FALSE
2019,46019.82049777632,45473.60374812718,48181,546.2167496491456,FALSE
2020,48119,47741.482097161985,48181,377.5179028380153,FALSE
2021,50189.10439163006,50072.78225188534,48181,116.3221397447196,FALSE
2022,47597.770897473136,48233.82209523628,48181,-636.0511977631468,FALSE
1990,35027.60351185922,34949.073973537175,48183,78.52953832204366,FALSE
1991,34485.3306020558,34158.85088173465,48183,326.4797203211492,FALSE
1992,35141.479330007125,34914.72138025163,48183,226.75794975549798,FALSE
1993,34836.49792387543,35468.384239301064,48183,-631.8863154256323,FALSE
1994,35330.670317138996,35733.371956583964,48183,-402.70163944496744,FALSE
1995,36427.13877952755,36004.2919125233,48183,422.84686700424936,FALSE
1996,37119.33673040153,36949.728594020344,48183,169.6081363811827,FALSE
1997,38553.97008722741,38674.97734911908,48183,-121.00726189166744,FALSE
1998,39667.94609202453,39736.58882439307,48183,-68.64273236853478,FALSE
1999,39471.00773109243,39551.419435723496,48183,-80.41170463106391,FALSE
2000,41480.39947154471,41001.71747668205,48183,478.68199486265803,FALSE
2001,43008.51343873517,47007.22916136376,48183,-3998.7157226285854,FALSE
2002,41966.51295719843,46391.85126928728,48183,-4425.338312088854,FALSE
2003,43007.636608695655,47326.850712743624,48183,-4319.214104047969,FALSE
2004,42460.62308628904,47193.945654032075,48183,-4733.322567743038,FALSE
2005,45087.18204301075,49375.33715241194,48183,-4288.155109401196,FALSE
2006,49016.18447916666,50571.40455369105,48183,-1555.22007452439,FALSE
2007,49987.96248227565,49690.58361571972,48183,297.3788665559332,FALSE
2008,56522.909717932394,57851.170394889654,48183,-1328.2606769572594,FALSE
2009,51162.15156359974,49860.6111396199,48183,1301.5404239798445,FALSE
2010,50369.727125142155,53556.478602913725,48183,-3186.7514777715696,FALSE
2011,54575.605666425115,60862.51753993263,48183,-6286.911873507517,FALSE
2012,52092.71118583238,63414.90794518344,48183,-11322.196759351064,FALSE
2013,50715.21069982873,64416.63942668461,48183,-13701.428726855884,FALSE
2014,51992.65653723979,66694.17922124408,48183,-14701.522684004289,FALSE
2015,48538.3232468557,58894.88924993654,48183,-10356.566003080836,FALSE
2016,46336.60130746186,54561.274364282224,48183,-8224.673056820364,FALSE
2017,45897.985354112265,63357.16106811829,48183,-17459.17571400602,FALSE
2018,47076.31577375381,68537.46753372472,48183,-21461.151759970904,FALSE
2019,47763.064539597974,70007.78230619164,48183,-22244.71776659367,FALSE
2020,50405,63435.484445928945,48183,-13030.484445928945,FALSE
2021,52621.81508654093,67717.47293697427,48183,-15095.657850433337,FALSE
2022,51377.50544497787,68973.40743261031,48183,-17595.901987632446,FALSE
1990,26799.908752869167,27433.230848694748,48213,-633.3220958255806,FALSE
1991,27194.15727606461,27239.724645281676,48213,-45.56736921706761,FALSE
1992,28301.342565930147,28294.11512275533,48213,7.227443174815562,FALSE
1993,28510.404830449825,28566.977098879568,48213,-56.57226842974342,FALSE
1994,29469.87601214575,29152.086795060954,48213,317.7892170847954,FALSE
1995,29484.754475065612,29510.25429024665,48213,-25.499815181035956,FALSE
1996,30328.2284639898,29782.054011524644,48213,546.1744524651549,FALSE
1997,31581.39211838006,31680.412968904846,48213,-99.02085052478651,FALSE
